competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
"results-driven, proactive, and able to work independently as well as collaboratively.","berorientasi pada hasil, proaktif, dan mampu bekerja secara mandiri maupun kolaboratif.","results-driven, proactive, and able to work independently as well as collaboratively.","berorientasi pada hasil, proaktif, dan mampu bekerja secara mandiri maupun kolaboratif. results-driven, proactive, and able to work independently as well as collaboratively."
"proficient in spreadsheets and business tools: microsoft office, google workspace, hubspot, canva, looker studio.","mahir dalam spreadsheet dan alat bisnis: microsoft office, google workspace, hubspot, canva, looker studio.","proficient in spreadsheets and business tools: microsoft office, google workspace, hubspot, canva, looker studio.","mahir dalam spreadsheet dan alat bisnis: microsoft office, google workspace, hubspot, canva, looker studio. proficient in spreadsheets and business tools: microsoft office, google workspace, hubspot, canva, looker studio."
"the role is responsible for supporting the commercial team at the site office, with a primary focus on documentation control and administrative coordination to ensure compliance, accuracy, and efficiency in commercial operations.","perannya bertanggung jawab untuk mendukung tim komersial di kantor lokasi, dengan fokus utama pada pengendalian dokumentasi dan koordinasi administratif untuk memastikan kepatuhan, keakuratan, dan efisiensi dalam operasi komersial.","the role is responsible for supporting the commercial team at the site office, with a primary focus on documentation control and administrative coordination to ensure compliance, accuracy, and efficiency in commercial operations.","perannya bertanggung jawab untuk mendukung tim komersial di kantor lokasi, dengan fokus utama pada pengendalian dokumentasi dan koordinasi administratif untuk memastikan kepatuhan, keakuratan, dan efisiensi dalam operasi komersial. the role is responsible for supporting the commercial team at the site office, with a primary focus on documentation control and administrative coordination to ensure compliance, accuracy, and efficiency in commercial operations."
prepare and circulate meeting minutes;,menyiapkan dan mengedarkan risalah rapat;,prepare and circulate meeting minutes;,menyiapkan dan mengedarkan risalah rapat; prepare and circulate meeting minutes;
arrange schedules and prepare venues for project-related meetings.,mengatur jadwal dan menyiapkan tempat untuk pertemuan terkait proyek.,arrange schedules and prepare venues for project-related meetings.,mengatur jadwal dan menyiapkan tempat untuk pertemuan terkait proyek. arrange schedules and prepare venues for project-related meetings.
review and verify work done reports to ensure completeness and accuracy.,meninjau dan memverifikasi laporan pekerjaan yang dilakukan untuk memastikan kelengkapan dan keakuratan.,review and verify work done reports to ensure completeness and accuracy.,meninjau dan memverifikasi laporan pekerjaan yang dilakukan untuk memastikan kelengkapan dan keakuratan. review and verify work done reports to ensure completeness and accuracy.
record and maintain hse man-hours data.,mencatat dan memelihara data jam kerja.,record and maintain hse man-hours data.,mencatat dan memelihara data jam kerja. record and maintain hse man-hours data.
"facilitate internal departmental communication and handle daily administrative tasks, including internal and external correspondence and telephone communications.","memfasilitasi komunikasi internal departemen dan menangani tugas administratif sehari-hari, termasuk korespondensi internal dan eksternal serta komunikasi telepon.","facilitate internal departmental communication and handle daily administrative tasks, including internal and external correspondence and telephone communications.","memfasilitasi komunikasi internal departemen dan menangani tugas administratif sehari-hari, termasuk korespondensi internal dan eksternal serta komunikasi telepon. facilitate internal departmental communication and handle daily administrative tasks, including internal and external correspondence and telephone communications."
coordinate personnel movement arrangements.,mengoordinasikan pengaturan pergerakan personel.,coordinate personnel movement arrangements.,mengoordinasikan pengaturan pergerakan personel. coordinate personnel movement arrangements.
perform related duties as required by the project department.,melaksanakan tugas terkait seperti yang diminta oleh departemen proyek.,perform related duties as required by the project department.,melaksanakan tugas terkait seperti yang diminta oleh departemen proyek. perform related duties as required by the project department.
"carry out day-to-day general clerical duties, including typing, filing, data entry, document delivery, stationery requests, and preparation of simple reports.","melaksanakan tugas administrasi umum sehari-hari, termasuk pengetikan, pengarsipan, entri data, pengiriman dokumen, permintaan alat tulis, dan persiapan laporan sederhana.","carry out day-to-day general clerical duties, including typing, filing, data entry, document delivery, stationery requests, and preparation of simple reports.","melaksanakan tugas administrasi umum sehari-hari, termasuk pengetikan, pengarsipan, entri data, pengiriman dokumen, permintaan alat tulis, dan persiapan laporan sederhana. carry out day-to-day general clerical duties, including typing, filing, data entry, document delivery, stationery requests, and preparation of simple reports."
prepare monthly reports and any ad hoc reports as required.,menyiapkan laporan bulanan dan laporan ad hoc bila diperlukan.,prepare monthly reports and any ad hoc reports as required.,menyiapkan laporan bulanan dan laporan ad hoc bila diperlukan. prepare monthly reports and any ad hoc reports as required.
comply with all safety rules and regulations in accordance with the yard’s occupational health & safety policy and environmental policy.,mematuhi semua aturan dan peraturan keselamatan sesuai dengan kebijakan kesehatan & keselamatan kerja dan kebijakan lingkungan.,comply with all safety rules and regulations in accordance with the yard’s occupational health & safety policy and environmental policy.,mematuhi semua aturan dan peraturan keselamatan sesuai dengan kebijakan kesehatan & keselamatan kerja dan kebijakan lingkungan. comply with all safety rules and regulations in accordance with the yard’s occupational health & safety policy and environmental policy.
